"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-07",101.2873,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-08",101.1763,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-09",101.0663,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.9881,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-11",100.9578,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-12",100.9654,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-01",100.9757,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-02",100.9469,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-03",100.8536,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-04",100.6978,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-05",100.5059,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-06",100.3052,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-07",100.139,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-08",100.0159,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.93784,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.88144,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.797,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.63144,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.36576,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.99182,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-03",98.54962,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-04",93.03118,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-05",92.82694,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-06",94.81303,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-07",94.93003,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-08",95.1189,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-09",95.32806,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-10",95.30531,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-11",95.28681,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-12",95.26688,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2017-12",101.6961,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-01",101.6405,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-02",101.5403,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-03",101.3983,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-04",101.2261,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-05",101.0289,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-06",100.8052,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.5555,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.2919,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.0486,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-10",99.85416,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-11",99.71534,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.61405,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.54685,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.50726,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.47578,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.44077,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.39516,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.34482,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.30531,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.29089,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.30232,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.33534,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.36924,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.38515,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.37312,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.33393,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-03",96.87456,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-04",90.34396,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-05",93.02601,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-06",96.7795,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.22281,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-08",98.76143,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-09",98.90823,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-10",98.97127,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-11",99.00334,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-12",99.09963,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2017-12",101.0379,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-01",101.0463,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-02",101.0361,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-03",100.9927,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-04",100.9171,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-05",100.821,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-06",100.707,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.5771,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.4328,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.2781,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.1214,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-11",99.97465,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.83896,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.72412,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.63306,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.56251,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.4984,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.4282,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.35703,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.29826,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.26273,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.26228,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.29222,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.33227,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.35829,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.34711,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.29162,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.46101,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-04",92.74369,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-05",94.48965,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-06",96.8429,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.13958,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-08",98.73074,
